Name,Type,Primary Mechanism / Class
Nitroprusside Sodium,Small Molecule,Direct Nitric Oxide Donor Vasodilator
Hydralazine,Small Molecule,Direct Peripheral Arterial Smooth Muscle Relaxant
Minoxidil (Oral),Small Molecule,ATP-Sensitive Potassium Channel Opener Vasodilator
Diazoxide,Small Molecule,Thiazide Derivative Potassium Channel Opener
Fenoldopam Mesylate,Small Molecule,Peripheral Dopamine D1 Receptor Agonist Vasodilator
Tolazoline,Small Molecule,Competitive Non-Selective Alpha Adrenergic Antagonist
Phentolamine,Small Molecule,Reversible Non-Selective Alpha-1/Alpha-2 Blocker
Phenoxybenzamine,Small Molecule,Irreversible Alkylating Non-Selective Alpha Blocker
Prazosin,Small Molecule,Selective Quinazoline Alpha-1 Adrenergic Antagonist
Terazosin,Small Molecule,Long-Acting Selective Alpha-1 Receptor Blocker
Doxazosin,Small Molecule,Extended-Release Alpha-1 Adrenergic Antagonist
Alfuzosin,Small Molecule,Uroselective Alpha-1A Adrenergic Antagonist
Tamsulosin (Flomax),Small Molecule,High-Affinity Alpha-1A/1D Receptor Blocker
Silodosin,Small Molecule,Highly Selective Alpha-1A Adrenergic Blocker
Yohimbine HCl,Small Molecule,Indole Alkaloid Selective Alpha-2 Antagonist (Lipolysis)
Rauwolscine (Alpha-Yohimbine),Small Molecule,Diastereoisomer Alpha-2 Antagonist Variant
Clonidine,Small Molecule,Centrally Acting Alpha-2 Adrenergic Agonist
Guanfacine,Small Molecule,Selective Central Alpha-2A Receptor Agonist
Methyldopa,Small Molecule,Central Alpha-2 Agonist via False Transmitter Conversion
Moxonidine,Small Molecule,Imidazoline Receptor Type 1 (I1) Agonist
Rilmenidine,Small Molecule,Oxazoline Class Imidazoline Receptor Agonist
Propranolol,Small Molecule,Non-Selective Beta Adrenergic Blocker (Lipophilic)
Nadolol,Small Molecule,Long-Acting Non-Selective Beta Adrenergic Antagonist
Timolol,Small Molecule,Non-Selective Beta Blocker (Ocular/Systemic)
Pindolol,Small Molecule,Non-Selective Beta Blocker with Intrinsic Sympathomimetic Activity
Acebutolol,Small Molecule,Selective Beta-1 Blocker with ISA Complex
Atenolol,Small Molecule,Hydrophilic Selective Beta-1 Adrenergic Blocker
Metoprolol Succinate,Small Molecule,Extended-Release Selective Beta-1 Blocker
Metoprolol Tartrate,Small Molecule,Immediate-Release Beta-1 Antagonist
Esmolol Hydrochloride,Small Molecule,Ultra-Short-Acting Intravenous Beta-1 Blocker
Betaxolol,Small Molecule,High-Affinity Selective Beta-1 Blocker Agent
Bisoprolol Fumarate,Small Molecule,Highly Potent Selective Beta-1 Adrenergic Antagonist
Nebivolol,Small Molecule,Beta-1 Selective Blocker with Nitric Oxide Vasodilation
Carvedilol,Small Molecule,Non-Selective Beta and Alpha-1 Adrenergic Antagonist
Labetalol,Small Molecule,Dual Alpha-1 and Non-Selective Beta Receptor Blocker
Amiodarone,Small Molecule,Class III Potassium Channel Blocker Antiarrhythmic
Dronedarone,Small Molecule,Non-Iodinated Benzofuran Class III Antiarrhythmic
Sotalol,Small Molecule,Dual Class II (Beta-Blocker) and Class III Antiarrhythmic
Ibutilide Fumarate,Small Molecule,Intravenous Class III Antiarrhythmic (Ikr Activator)
Dofetilide,Small Molecule,Pure Class III Rapid Delayed Rectifier Channel Blocker
Flecainide Acetate,Small Molecule,Class Ic Sodium Channel Blocker Antiarrhythmic
Propafenone,Small Molecule,Class Ic Antiarrhythmic with Weak Beta Blocking Properties
Mexiletine,Small Molecule,Class Ib Oral Sodium Channel Blocker
Tocainide,Small Molecule,Class Ib Lidocaine Analogue Antiarrhythmic Agent
Lidocaine (Intravenous),Small Molecule,Class Ib Voltage-Gated Sodium Channel Antagonist
Quinidine,Small Molecule,Cinchona Alkaloid Class Ia Antiarrhythmic
Procainamide,Small Molecule,Class Ia Sodium and Potassium Channel Blocker
Disopyramide,Small Molecule,Class Ia Antiarrhythmic with Anticholinergic Side Effects
Digoxin,Small Molecule,Cardiac Glycoside Sodium-Potassium ATPase Inhibitor
Digitoxin,Small Molecule,Highly Lipophilic Cardiac Glycoside Variant
Milrinone,Small Molecule,Phosphodiesterase-3 (PDE3) Inhibitor Inodilator
Inamrinone,Small Molecule,Early Generation Pyridine PDE3 Inhibitor
Levosimendan,Small Molecule,Calcium Sensitizer and K-ATP Channel Opener
Nesiritide (BNP),Peptide,Recombinant Human B-Type Natriuretic Complex
Sacubitril,Small Molecule,Neprilysin Inhibitor (Natriuretic Peptide Stabilizer)
Valsartan,Small Molecule,Angiotensin II Type 1 Receptor Blocker (ARB)
Losartan,Small Molecule,Imidazole-Derived Angiotensin II Receptor Antagonist
Candesartan Cilexetil,Small Molecule,Prodrug Ester Angiotensin Receptor Blocker
Eprosartan,Small Molecule,Non-Biphenyl Angiotensin II Antagonist Complex
Irbesartan,Small Molecule,Long-Acting Non-Peptide Angiotensin Blocker
Olmesartan Medoxomil,Small Molecule,Hydrolyzed Ester Angiotensin II Antagonist
Telmisartan,Small Molecule,Highly Lipophilic ARB with PPAR-Gamma Modulating Activity
Azilsartan Medoxomil,Small Molecule,Potent Angiotensin II Type 1 Antagonist
Captopril,Small Molecule,Sulfhydryl-Containing Angiotensin-Converting Enzyme Inhibitor
Enalapril Maleate,Small Molecule,Prodrug Dicarboxylate ACE Inhibitor Base
Lisinopril,Small Molecule,Lysine Analogue Structural Active ACE Inhibitor
Ramipril,Small Molecule,Bicyclic Prodrug Angiotensin Converting Enzyme Inhibitor
Benazepril,Small Molecule,Benzazepine Class Prodrug ACE Inhibitor
Fosinopril Sodium,Small Molecule,Phosphinic Acid Containing Prodrug ACE Inhibitor
Quinapril,Small Molecule,Tetrahydroisoquinoline Prodrug ACE Inhibitor
Moexipril,Small Molecule,Long-Acting Dicarboxylate ACE Inhibitor Variant
Perindopril Erbumine,Small Molecule,Highly Potent Tissue-Specific ACE Inhibitor
Trandolapril,Small Molecule,Lipophilic Lipophilic Cleaved ACE Inhibitor Matrix
Aliskiren,Small Molecule,Direct Renin Inhibitor Piperidine Analogue
Verapamil Hydrochloride,Small Molecule,Phenylalkylamine Class Non-Dihydropyridine Calcium Blocker
Diltiazem Hydrochloride,Small Molecule,Benzothiazepine Class Non-Dihydropyridine Calcium Blocker
Amlodipine Besylate,Small Molecule,Long-Acting Dihydropyridine Calcium Channel Blocker
Nifedipine (Extended Release),Small Molecule,Short-Acting Prototype Dihydropyridine Calcium Blocker
Felodipine,Small Molecule,Vascular Selective Dihydropyridine Calcium Blocker
Isradipine,Small Molecule,Dihydropyridine Calcium Antagonist Variant
Nicardipine Hydrochloride,Small Molecule,Intravenous and Oral Dihydropyridine Channel Blocker
Nisoldipine,Small Molecule,Coat-Core Formulated Dihydropyridine Calcium Blocker
Clevidipine,Small Molecule,Ultra-Short-Acting Intravenous Esterase-Cleaved Calcium Blocker
Nimodipine,Small Molecule,Cerebral-Vascular Selective Dihydropyridine Calcium Blocker
Vericiguat,Small Molecule,Soluble Guanylyl Cyclase (sGC) Stimulator (Heart Failure)
Omecamtiv Mecarbil,Small Molecule,Cardiac Myosin Activator Agent
Mavacamten,Small Molecule,Cardiac Myosin Inhibitor (Hypertrophic Cardiomyopathy)
Ranolazine,Small Molecule,Late Sodium Current Inhibitor Antianginal Agent
Ivabradine,Small Molecule,Hyperpolarization-Activated Cyclic Nucleotide-Gated (HCN) Channel Blocker
Trimethazidine,Small Molecule,Fatty Acid Oxidation Inhibitor Antianginal Agent
Nicorandil,Small Molecule,Dual Potassium Channel Opener and Nitrate Vasodilator
Isosorbide Mononitrate,Small Molecule,Long-Acting Organic Nitrate Vasodilator
Isosorbide Dinitrate,Small Molecule,Organic Nitrate Nitrovasodilator Complex
Nitroglycerin (Sublingual),Small Molecule,Rapid Active Direct Nitric Oxide Precursor
Amyl Nitrite,Small Molecule,Inhalant Volatile Organic Nitrate Complex
Pentaerythritol Tetranitrate,Small Molecule,Extended-Release Organic Nitrate Ester
Atorvastatin (Lipitor),Small Molecule,HMG-CoA Reductase Inhibitor Antilipedemic
Rosuvastatin (Crestor),Small Molecule,Hydrophilic High-Potency HMG-CoA Inhibitor
Simvastatin (Zocor),Small Molecule,Prodrug Lactone HMG-CoA Reductase Inhibitor
Pravastatin Sodium,Small Molecule,Hydrophilic Open-Ring HMG-CoA Inhibitor
Lovastatin,Small Molecule,Fungal-Derived Prototype HMG-CoA Reductase Inhibitor
Fluvastatin,Small Molecule,Fully Synthetic Indole Class HMG-CoA Blocker
Pitavastatin,Small Molecule,Cyclopropyl-Modified HMG-CoA Reductase Inhibitor
Ezetimibe,Small Molecule,Niemann-Pick C1-Like 1 (NPC1L1) Cholesterol Absorption Inhibitor
Evolocumab (Repatha),Peptide,PCSK9 Monoclonal Antibody (LDL Reduction)
Alirocumab (Praluent),Peptide,PCSK9 Inhibiting Human Monoclonal Antibody
Inclisiran,siRNA,Small Interfering RNA Targeting PCSK9 Translation
Bempedoic Acid,Small Molecule,Adenosine Triphosphate-Citrate Lyase (ACL) Inhibitor
Fenofibrate,Small Molecule,PPAR-Alpha Agonist Fibric Acid Derivative
Gemfibrozil,Small Molecule,Non-Halogenated Phenoxyalkanoic Acid Fibrate
Clinofibrate,Small Molecule,Fibric Acid Related Lipid Lowering Matrix
Cholestyramine,Polymer Resin,Bile Acid Sequestrant Anion-Exchange Polymer
Colestipol,Polymer Resin,Copolymer Bile Acid Sequestrant Complex
Colesevelam Hydrochloride,Polymer Resin,Non-Absorbed Polyallylamine Bile Acid Binder
Niacin (Extended Release),Small Molecule,Nicotinic Acid Vitamin B3 Antilipedemic
Omega-3-Acid Ethyl Esters,Lipid Mixture,Purified Marine-Derived Triglyceride Reducer
Icosapent Ethyl (Vascepa),Lipid Molecule,Pure Eicosapentaenoic Acid (EPA) Ethyl Ester
Mipomersen,Antisense Oligo,Apolipoprotein B-100 Translation Inhibitor
Lomitapide,Small Molecule,Microsomal Triglyceride Transfer Protein (MTP) Inhibitor
Evinacumab,Peptide,ANGPTL3 Targeted Monoclonal Antibody
Volanesorsen,Antisense Oligo,Apolipoprotein C-III Translation Inhibitor Agent
Metformin Hydrochloride,Small Molecule,Biguanide AMPK Activator (Insulin Sensitivity)
Glipizide,Small Molecule,Second-Generation Sulfonylurea K-ATP Channel Blocker
Glyburide (Glibenclamide),Small Molecule,Sulfonylurea Insulin Secretagogue Compound
Glimepiride,Small Molecule,Third-Generation Sulfonylurea Secretagogue Variant
Repaglinide,Small Molecule,Meglitinide Class Potassium Channel Blocker Secretagogue
Nateglinide,Small Molecule,D-Phenylalanine Derivative Meglitinide Secretagogue
Pioglitazone,Small Molecule,Thiazolidinedione PPAR-Gamma Receptor Agonist
Rosiglitazone,Small Molecule,Thiazolidinedione Class Insulin Sensitizer Variant
Acarbose,Small Molecule,Microbial Pseudo-Tetrasaccharide Alpha-Glucosidase Inhibitor
Miglitol,Small Molecule,Desojimycin Derivative Alpha-Glucosidase Inhibitor
Sitagliptin Phosphate,Small Molecule,Dipeptidyl Peptidase-4 (DPP-4) Enzyme Inhibitor
Saxagliptin,Small Molecule,Cyanopyrrolidine Class DPP-4 Inhibitor Complex
Linagliptin,Small Molecule,Xanthine-Based Non-Peptidic DPP-4 Inhibitor
Alogliptin,Small Molecule,Quinazolinone Class Selective DPP-4 Inhibitor
Vildagliptin,Small Molecule,Substituted Pyrrolidine DPP-4 Antagonist
Canagliflozin,Small Molecule,Sodium-Glucose Cotransporter 2 (SGLT2) Inhibitor
Dapagliflozin,Small Molecule,Selective SGLT2 C-Glucoside Inhibitor Base
Empagliflozin,Small Molecule,Potent Oral SGLT2 Cotransporter Inhibitor
Ertugliflozin,Small Molecule,Dioxabicyclo Octane SGLT2 Inhibitor Matrix
Bexagliflozin,Small Molecule,Non-Glucoside SGLT2 Competitive Inhibitor
Sotagliflozin,Small Molecule,Dual SGLT1 and SGLT2 Cotransporter Inhibitor
Colesevelam (Antidiabetic),Polymer Resin,Bile Acid Binder with Secondary Glucose Lowering Actions
Bromocriptine Mesylate (Cycloset),Small Molecule,Dopamine Agonist Formulated for Glycemic Control
Pramlintide Acetate,Peptide,Exogenous Amylin Receptor Peptide Agonist
